"%s is not correct comparsion method.","%s 不是正确的比较方法。"
"Note that these settings are applicable to cart line items, not the whole cart.","请注意，这些设置仅使用于购物车里某一行商品，而不是整个购物车。"
"Allow Qty Below 0","允许库存数量低于0"
"Allow Qty Below 0 and Notify Customer","允许库存数量低于0并提醒客户"
"Backorders","是否允许缺货订单"
"By Fixed value","根据固定价格"
"By Percentage","根据百分比"
"Can not specify product identifier for order item","无法指定订购商品的标识"
"Catalog Inventory","目录库存"
"Decrease Stock When Order is Placed","生成订单后减少库存"
"Inventory","库存管理"
"Inventory API","库存 API"
"In Stock","有库存"
"Index Product Stock Status","索引产品库存状态"
"Manage Stock","管理库存"
"Maximum Qty Allowed in Shopping Cart","购物车中最多商品数量"
"Minimum Qty Allowed in Shopping Cart","购物车中最少商品数量"
"Minimum Qty for Items' Status to be In Stock","商品有货的最少数量"
"No Backorders","不允许缺货订单"
"Notify for Quantity Below","需要提醒的最少库存量"
"Out of Stock","无现货"
"Product Stock Options","商品库存选项"
"Qty for Items' Status to become Out of Stock","此数量时将商品状态设置为库存不足"
"Retrieve stock data","获取库存数据"
"Retrieve stock data by product ids","根据商品编号(id)获得库存数据"
"Rule price","价格规则"
"Set Items' Status to be In Stock When Order is Cancelled","当订单被取消时把商品放回库存"
"Some of the products are currently out of stock","部分商品目前库存不足"
"Some of the products can not be ordered in requested quantity","部分商品无法按照要求的数量订购"
"Some of the products cannot be ordered in the requested quantity","部分商品无法按照要求的数量订购"
"Stock Options","库存选项"
"Stock item for Product in option is not valid","指定商品的库存记录不存在"
"Stock item for Product is not valid","商品库存记录不存在"
"Stock Status","库存状态"
"The maximum quantity allowed for purchase is %s.","最大允许购买数量为 %s."
"The minimum quantity allowed for purchase is %s.","最低允许购买数量为 %s."
"The requested quantity for ""%s"" is not available.","订购""%s""的数量没有库存。"
"The requested quantity is not available.","订购的数量没有库存。"
"This product is currently out of stock.","此商品目前库存不足。"
"To Fixed Value","为固定值"
"To Percentage","为百分比"
"Update","更新"
"Update product stock data","更新产品库存数据"
"Update the Product","更新商品"
"Product Stock Options","商品库存选项"
"Qty for Items' Status to Become Out of Stock","库存量为多少时为商品缺货"
"The maximum quantity allowed for purchase is %s.","最多允许购买的商品数量为：%s."
"Some of the products cannot be ordered in the requested quantity","有些商品不能按所需求的数量购买"
"The minimum quantity allowed for purchase is %s.","此商品的最小购买数量是 %s."
"This product is currently out of stock.","此商品当前缺货."
"Some of the products are currently out of stock","有些商品当前为缺货状态"
"Some of the products cannot be ordered in requested quantity.","有些商品没有所需数量的库存"
"Not all products are available in the requested quantity","有些商品没有足够的库存"
"Display Out of Stock Products","显示缺货商品"
"Automatically Return Credit Memo Item to Stock","商品退货后放回库存"
"Only X left Threshold","显示剩余多少库存的临界值"
"Add Minimum Qty","添加最少商品数量"
"Minimum Qty","最少商品数量"