"%s Item(s)","%s条"
"&copy; 2008 Gongzhen Store. All Rights Reserved.","&copy; 2008 Gongzhen Store. All Rights Reserved."
"(ver. %s)","(版本 %s)"
"- Click on any of the time parts to increase it","- 点击任意时间部分增加值"
"- Hold mouse button on any of the above buttons for faster selection.","- 用鼠标按在任意按钮上来加速选择"
"- Use the %s buttons to select month","- 用 %s 按钮来选择月"
"- Use the %s, %s buttons to select year","- 用 %s, %s 按钮来选择年"
"- or Shift-click to decrease it","- 或切换点击来减少值"
"- or click and drag for faster selection.","- 或用点击和拖动来加速选择"
"About the calendar","关于日历"
"Click <a href=""%s"">here</a> if nothing has happened","如果没有反应，请点击 <a href=""%s"">这里</a>"
"Close","关闭"
"Close Window","关闭窗口"
"Copyright","版权所有"
"Checkout","结算"
"Default Description","商城默认描述"
"Default Keywords","默认商城关键字（用于搜索引擎优化）"
"Default Robots","默认爬虫（用于搜索引擎优化）"
"Default Title","默认商城页面标题"
"Default welcome msg!","欢迎光临我们的商城!"
"Footer","商城页脚"
"HTML Head","商城HTML页头"
"Header","商城页眉"
"Help Us to Keep Magento Healthy","协助我们完善商城系统"
"Interface Language","界面语言"
"Items %s to %s of %s total","%s到%s，共%s"
"Logo Image Alt","LOGO图片描述"
"Logo Image Src","LOGO图片地址"
"Magento Commerce Demo Store","商城演示商店"
"Next Page","下一页"
"Page:","页："
"Previous Page","上一页"
"Redirecting...","重定向..."
"Report All Bugs","报告所有错误"
"Select Store","选择商店"
"Show","显示"
"Skip to Main Content","转到主页眉"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","这是演示商店，所有订单都不会发货。"
"Title Prefix","页面标题前缀"
"Title Suffix","页面标题后缀"
"Welcome Text","欢迎文字"
"Welcome,","中华窗帘商城欢迎您, "
"You're currently on:","当前登录帐号："
"Your Language","您的语言"
"Your Language:","你的语言:"
"per page","每页"
"This is a required field.","这里是必填项"
"images/btn_mini_search.gif","images/btn_mini_search1.gif"
"Login","登录"
"There are <strong>%s items</strong> in your cart.","购物车中有<strong>%s </strong>件商品"
" Total","  合计"
"Checkout","去结算"
"images/checkouten.png","images/checkoutcn.png"
"SKU：","商品编码："
"images/gif-0568.jpg","images/gif-0568.gif"
"Member Area","会员专区"
"Store Image","店铺形象"
"Jobs","工作机会"
"Contacts Us","联系我们"
"Products Category","产品目录"
"About Us","关于我们"
"Stefanie Clothing Series","燕姿服饰系列"
"Stefanie blog","燕姿博客"
"Related products","相关产品"
"Recently Concern Products","最近关注的产品："
"Next >","下一页 >"
"Now you are here:","您当前所在位置："
"There are (<span> %s </span>)items in your cart","购物车有(<span>%s</span>)件商品"
"Total(Excl )","商品总价："    
"You will be redirected to Alipay website when you place an order.","下订单后，会转向Alipay网站。"
"Password:   ","密码："
"CheckOut","结账"
"Please enter your email below and we'll send you a new password.","请输入您的邮箱地址，我们会发给您新的密码。"
"Modify Account Information","修改账户信息"
"Newueer Register","新用户注册"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d 件</strong>商品被找到"
"Some of the products can not be ordered in requested quantity","其中有些产品不能订购请求的数量"
"Olduser Login","老用户登录"
"News","新闻"
"1 column","1 列"
"2 columns with left bar","含左栏的2 列"
"2 columns with right bar","含右栏的2 列"
"3 columns","3 列"